Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 8.81, h(n) (heuristic cost): 3.71, f(n): 12.52
g(n) (actual cost): 8.83, h(n) (heuristic cost): 3.69, f(n): 12.52
g(n) (actual cost): 8.86, h(n) (heuristic cost): 3.66, f(n): 12.52
g(n) (actual cost): 8.88, h(n) (heuristic cost): 3.64, f(n): 12.52
g(n) (actual cost): 8.91, h(n) (heuristic cost): 3.61, f(n): 12.52
g(n) (actual cost): 8.93, h(n) (heuristic cost): 3.59, f(n): 12.52
g(n) (actual cost): 8.96, h(n) (heuristic cost): 3.57, f(n): 12.52
g(n) (actual cost): 8.98, h(n) (heuristic cost): 3.54, f(n): 12.52
g(n) (actual cost): 9.00, h(n) (heuristic cost): 3.52, f(n): 12.52
g(n) (actual cost): 9.03, h(n) (heuristic cost): 3.49, f(n): 12.52
g(n) (actual cost): 9.05, h(n) (heuristic cost): 3.47, f(n): 12.52
g(n) (actual cost): 9.09, h(n) (heuristic cost): 3.43, f(n): 12.52
g(n) (actual cost): 9.12, h(n) (heuristic cost): 3.40, f(n): 12.52
g(n) (actual cost): 9.14, h(n) (heuristic cost): 3.38, f(n): 12.52
g(n) (actual cost): 9.17, h(n) (heuristic cost): 3.36, f(n): 12.52
g(n) (actual cost): 9.19, h(n) (heuristic cost): 3.33, f(n): 12.52
g(n) (actual cost): 9.22, h(n) (heuristic cost): 3.30, f(n): 12.52
g(n) (actual cost): 9.24, h(n) (heuristic cost): 3.28, f(n): 12.52
g(n) (actual cost): 9.27, h(n) (heuristic cost): 3.25, f(n): 12.52
g(n) (actual cost): 9.30, h(n) (heuristic cost): 3.23, f(n): 12.52
g(n) (actual cost): 9.32, h(n) (heuristic cost): 3.20, f(n): 12.52
g(n) (actual cost): 9.34, h(n) (heuristic cost): 3.18, f(n): 12.52
g(n) (actual cost): 9.37, h(n) (heuristic cost): 3.16, f(n): 12.52
g(n) (actual cost): 9.39, h(n) (heuristic cost): 3.13, f(n): 12.52
g(n) (actual cost): 9.41, h(n) (heuristic cost): 3.11, f(n): 12.52
g(n) (actual cost): 9.44, h(n) (heuristic cost): 3.08, f(n): 12.52
g(n) (actual cost): 9.46, h(n) (heuristic cost): 3.06, f(n): 12.52
g(n) (actual cost): 9.49, h(n) (heuristic cost): 3.04, f(n): 12.52
g(n) (actual cost): 9.51, h(n) (heuristic cost): 3.01, f(n): 12.52
g(n) (actual cost): 9.54, h(n) (heuristic cost): 2.99, f(n): 12.52
g(n) (actual cost): 9.56, h(n) (heuristic cost): 2.96, f(n): 12.52
g(n) (actual cost): 9.59, h(n) (heuristic cost): 2.94, f(n): 12.52
g(n) (actual cost): 9.61, h(n) (heuristic cost): 2.91, f(n): 12.52
g(n) (actual cost): 9.65, h(n) (heuristic cost): 2.87, f(n): 12.52
g(n) (actual cost): 9.67, h(n) (heuristic cost): 2.85, f(n): 12.52
g(n) (actual cost): 9.70, h(n) (heuristic cost): 2.82, f(n): 12.52
g(n) (actual cost): 9.72, h(n) (heuristic cost): 2.80, f(n): 12.52
g(n) (actual cost): 9.75, h(n) (heuristic cost): 2.78, f(n): 12.52
g(n) (actual cost): 9.77, h(n) (heuristic cost): 2.75, f(n): 12.52
g(n) (actual cost): 9.79, h(n) (heuristic cost): 2.73, f(n): 12.52
g(n) (actual cost): 9.82, h(n) (heuristic cost): 2.70, f(n): 12.52
g(n) (actual cost): 9.85, h(n) (heuristic cost): 2.67, f(n): 12.52
g(n) (actual cost): 9.87, h(n) (heuristic cost): 2.65, f(n): 12.52
g(n) (actual cost): 9.90, h(n) (heuristic cost): 2.62, f(n): 12.52
g(n) (actual cost): 9.93, h(n) (heuristic cost): 2.59, f(n): 12.52
g(n) (actual cost): 9.96, h(n) (heuristic cost): 2.57, f(n): 12.52
g(n) (actual cost): 9.98, h(n) (heuristic cost): 2.54, f(n): 12.52
g(n) (actual cost): 10.00, h(n) (heuristic cost): 2.52, f(n): 12.52
g(n) (actual cost): 10.03, h(n) (heuristic cost): 2.50, f(n): 12.52
g(n) (actual cost): 10.05, h(n) (heuristic cost): 2.47, f(n): 12.52
g(n) (actual cost): 10.08, h(n) (heuristic cost): 2.44, f(n): 12.52
g(n) (actual cost): 10.10, h(n) (heuristic cost): 2.42, f(n): 12.52
g(n) (actual cost): 10.13, h(n) (heuristic cost): 2.40, f(n): 12.52
g(n) (actual cost): 10.15, h(n) (heuristic cost): 2.37, f(n): 12.52
g(n) (actual cost): 10.18, h(n) (heuristic cost): 2.35, f(n): 12.52
g(n) (actual cost): 10.20, h(n) (heuristic cost): 2.32, f(n): 12.52
g(n) (actual cost): 10.23, h(n) (heuristic cost): 2.30, f(n): 12.52
g(n) (actual cost): 10.25, h(n) (heuristic cost): 2.28, f(n): 12.52
g(n) (actual cost): 10.27, h(n) (heuristic cost): 2.25, f(n): 12.52
g(n) (actual cost): 10.30, h(n) (heuristic cost): 2.22, f(n): 12.52
g(n) (actual cost): 10.32, h(n) (heuristic cost): 2.20, f(n): 12.52
g(n) (actual cost): 10.35, h(n) (heuristic cost): 2.18, f(n): 12.53
g(n) (actual cost): 10.37, h(n) (heuristic cost): 2.15, f(n): 12.53
g(n) (actual cost): 10.40, h(n) (heuristic cost): 2.13, f(n): 12.53
g(n) (actual cost): 10.42, h(n) (heuristic cost): 2.10, f(n): 12.53
g(n) (actual cost): 10.45, h(n) (heuristic cost): 2.08, f(n): 12.53
g(n) (actual cost): 10.47, h(n) (heuristic cost): 2.05, f(n): 12.53
g(n) (actual cost): 10.50, h(n) (heuristic cost): 2.03, f(n): 12.53
g(n) (actual cost): 10.52, h(n) (heuristic cost): 2.00, f(n): 12.53
Node 1 reached. Time taken for this node: 2.84 seconds. Distance traveled: 10.52 meters.
Actual cost g(n): 10.52, Heuristic cost h(n): 1.98
Nodes expanded to reach node 1: 409
g(n) (actual cost): 0.00, h(n) (heuristic cost): 15.64, f(n): 15.64
g(n) (actual cost): 0.03, h(n) (heuristic cost): 15.67, f(n): 15.70
g(n) (actual cost): 0.07, h(n) (heuristic cost): 15.69, f(n): 15.75
g(n) (actual cost): 0.09, h(n) (heuristic cost): 15.71, f(n): 15.80
g(n) (actual cost): 0.12, h(n) (heuristic cost): 15.72, f(n): 15.84
g(n) (actual cost): 0.14, h(n) (heuristic cost): 15.74, f(n): 15.88
g(n) (actual cost): 0.18, h(n) (heuristic cost): 15.76, f(n): 15.94
g(n) (actual cost): 0.20, h(n) (heuristic cost): 15.77, f(n): 15.97
g(n) (actual cost): 0.22, h(n) (heuristic cost): 15.79, f(n): 16.01
g(n) (actual cost): 0.24, h(n) (heuristic cost): 15.80, f(n): 16.05
g(n) (actual cost): 0.27, h(n) (heuristic cost): 15.82, f(n): 16.08
g(n) (actual cost): 0.29, h(n) (heuristic cost): 15.83, f(n): 16.12
g(n) (actual cost): 0.31, h(n) (heuristic cost): 15.85, f(n): 16.16
g(n) (actual cost): 0.34, h(n) (heuristic cost): 15.86, f(n): 16.20
g(n) (actual cost): 0.37, h(n) (heuristic cost): 15.88, f(n): 16.25
g(n) (actual cost): 0.40, h(n) (heuristic cost): 15.91, f(n): 16.31
g(n) (actual cost): 0.43, h(n) (heuristic cost): 15.92, f(n): 16.35
g(n) (actual cost): 0.45, h(n) (heuristic cost): 15.93, f(n): 16.38
g(n) (actual cost): 0.47, h(n) (heuristic cost): 15.95, f(n): 16.41
g(n) (actual cost): 0.49, h(n) (heuristic cost): 15.96, f(n): 16.44
g(n) (actual cost): 0.50, h(n) (heuristic cost): 15.97, f(n): 16.47
g(n) (actual cost): 0.52, h(n) (heuristic cost): 15.98, f(n): 16.51
g(n) (actual cost): 0.54, h(n) (heuristic cost): 15.99, f(n): 16.54
g(n) (actual cost): 0.56, h(n) (heuristic cost): 16.01, f(n): 16.57
g(n) (actual cost): 0.58, h(n) (heuristic cost): 16.02, f(n): 16.60
g(n) (actual cost): 0.60, h(n) (heuristic cost): 16.03, f(n): 16.63
g(n) (actual cost): 0.61, h(n) (heuristic cost): 16.04, f(n): 16.66
g(n) (actual cost): 0.63, h(n) (heuristic cost): 16.05, f(n): 16.69
g(n) (actual cost): 0.65, h(n) (heuristic cost): 16.06, f(n): 16.71
g(n) (actual cost): 0.67, h(n) (heuristic cost): 16.08, f(n): 16.74
g(n) (actual cost): 0.68, h(n) (heuristic cost): 16.09, f(n): 16.77
g(n) (actual cost): 0.70, h(n) (heuristic cost): 16.10, f(n): 16.80
g(n) (actual cost): 0.72, h(n) (heuristic cost): 16.11, f(n): 16.82
g(n) (actual cost): 0.73, h(n) (heuristic cost): 16.12, f(n): 16.85
g(n) (actual cost): 0.75, h(n) (heuristic cost): 16.13, f(n): 16.88
g(n) (actual cost): 0.77, h(n) (heuristic cost): 16.14, f(n): 16.91
g(n) (actual cost): 0.78, h(n) (heuristic cost): 16.15, f(n): 16.94
g(n) (actual cost): 0.81, h(n) (heuristic cost): 16.17, f(n): 16.97
g(n) (actual cost): 0.82, h(n) (heuristic cost): 16.18, f(n): 17.00
g(n) (actual cost): 0.84, h(n) (heuristic cost): 16.19, f(n): 17.02
g(n) (actual cost): 0.85, h(n) (heuristic cost): 16.20, f(n): 17.05
g(n) (actual cost): 0.87, h(n) (heuristic cost): 16.21, f(n): 17.07
g(n) (actual cost): 0.88, h(n) (heuristic cost): 16.22, f(n): 17.10
g(n) (actual cost): 0.90, h(n) (heuristic cost): 16.22, f(n): 17.12
g(n) (actual cost): 0.91, h(n) (heuristic cost): 16.23, f(n): 17.14
g(n) (actual cost): 0.92, h(n) (heuristic cost): 16.24, f(n): 17.17
g(n) (actual cost): 0.94, h(n) (heuristic cost): 16.25, f(n): 17.19
g(n) (actual cost): 0.95, h(n) (heuristic cost): 16.26, f(n): 17.21
g(n) (actual cost): 0.96, h(n) (heuristic cost): 16.27, f(n): 17.23
g(n) (actual cost): 0.98, h(n) (heuristic cost): 16.28, f(n): 17.25
g(n) (actual cost): 0.99, h(n) (heuristic cost): 16.28, f(n): 17.27
g(n) (actual cost): 1.00, h(n) (heuristic cost): 16.29, f(n): 17.29
g(n) (actual cost): 1.01, h(n) (heuristic cost): 16.30, f(n): 17.31
g(n) (actual cost): 1.02, h(n) (heuristic cost): 16.31, f(n): 17.33
g(n) (actual cost): 1.04, h(n) (heuristic cost): 16.31, f(n): 17.35
g(n) (actual cost): 1.05, h(n) (heuristic cost): 16.32, f(n): 17.37
g(n) (actual cost): 1.06, h(n) (heuristic cost): 16.33, f(n): 17.39
g(n) (actual cost): 1.07, h(n) (heuristic cost): 16.34, f(n): 17.41
g(n) (actual cost): 1.08, h(n) (heuristic cost): 16.34, f(n): 17.42
g(n) (actual cost): 1.09, h(n) (heuristic cost): 16.35, f(n): 17.44
g(n) (actual cost): 1.10, h(n) (heuristic cost): 16.36, f(n): 17.46
g(n) (actual cost): 1.11, h(n) (heuristic cost): 16.36, f(n): 17.47
g(n) (actual cost): 1.12, h(n) (heuristic cost): 16.37, f(n): 17.49
g(n) (actual cost): 1.13, h(n) (heuristic cost): 16.38, f(n): 17.51
g(n) (actual cost): 1.14, h(n) (heuristic cost): 16.38, f(n): 17.52
g(n) (actual cost): 1.15, h(n) (heuristic cost): 16.39, f(n): 17.54
g(n) (actual cost): 1.16, h(n) (heuristic cost): 16.39, f(n): 17.55
g(n) (actual cost): 1.17, h(n) (heuristic cost): 16.40, f(n): 17.57
g(n) (actual cost): 1.18, h(n) (heuristic cost): 16.41, f(n): 17.59
g(n) (actual cost): 1.19, h(n) (heuristic cost): 16.41, f(n): 17.60
g(n) (actual cost): 1.20, h(n) (heuristic cost): 16.42, f(n): 17.62
g(n) (actual cost): 1.21, h(n) (heuristic cost): 16.42, f(n): 17.63
g(n) (actual cost): 1.22, h(n) (heuristic cost): 16.43, f(n): 17.65
g(n) (actual cost): 1.23, h(n) (heuristic cost): 16.43, f(n): 17.66
g(n) (actual cost): 1.23, h(n) (heuristic cost): 16.44, f(n): 17.67
g(n) (actual cost): 1.24, h(n) (heuristic cost): 16.44, f(n): 17.68
g(n) (actual cost): 1.25, h(n) (heuristic cost): 16.44, f(n): 17.69
g(n) (actual cost): 1.26, h(n) (heuristic cost): 16.45, f(n): 17.71
g(n) (actual cost): 1.26, h(n) (heuristic cost): 16.45, f(n): 17.72
g(n) (actual cost): 1.27, h(n) (heuristic cost): 16.46, f(n): 17.73
g(n) (actual cost): 1.27, h(n) (heuristic cost): 16.46, f(n): 17.73
g(n) (actual cost): 1.28, h(n) (heuristic cost): 16.46, f(n): 17.74
g(n) (actual cost): 1.29, h(n) (heuristic cost): 16.47, f(n): 17.75
g(n) (actual cost): 1.29, h(n) (heuristic cost): 16.47, f(n): 17.76
g(n) (actual cost): 1.30, h(n) (heuristic cost): 16.47, f(n): 17.77
g(n) (actual cost): 1.30, h(n) (heuristic cost): 16.47, f(n): 17.78
g(n) (actual cost): 1.31, h(n) (heuristic cost): 16.48, f(n): 17.78
g(n) (actual cost): 1.31, h(n) (heuristic cost): 16.48, f(n): 17.79
g(n) (actual cost): 1.31, h(n) (heuristic cost): 16.48, f(n): 17.79
g(n) (actual cost): 1.32, h(n) (heuristic cost): 16.48, f(n): 17.80
g(n) (actual cost): 1.32, h(n) (heuristic cost): 16.48, f(n): 17.81
g(n) (actual cost): 1.33, h(n) (heuristic cost): 16.49, f(n): 17.81
g(n) (actual cost): 1.33, h(n) (heuristic cost): 16.49, f(n): 17.82
g(n) (actual cost): 1.33, h(n) (heuristic cost): 16.49, f(n): 17.82
g(n) (actual cost): 1.33, h(n) (heuristic cost): 16.49, f(n): 17.82
g(n) (actual cost): 1.34, h(n) (heuristic cost): 16.49, f(n): 17.83
g(n) (actual cost): 1.34, h(n) (heuristic cost): 16.49, f(n): 17.83
g(n) (actual cost): 1.34, h(n) (heuristic cost): 16.49, f(n): 17.83
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.84
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.84
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.84
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.84
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.35, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.36, h(n) (heuristic cost): 16.49, f(n): 17.85
g(n) (actual cost): 1.37, h(n) (heuristic cost): 16.48, f(n): 17.85
g(n) (actual cost): 1.37, h(n) (heuristic cost): 16.48, f(n): 17.85
g(n) (actual cost): 1.37, h(n) (heuristic cost): 16.48, f(n): 17.85
g(n) (actual cost): 1.37, h(n) (heuristic cost): 16.48, f(n): 17.85
g(n) (actual cost): 1.37, h(n) (heuristic cost): 16.48, f(n): 17.85
g(n) (actual cost): 1.38, h(n) (heuristic cost): 16.47, f(n): 17.85
g(n) (actual cost): 1.38, h(n) (heuristic cost): 16.47, f(n): 17.85
g(n) (actual cost): 1.38, h(n) (heuristic cost): 16.47, f(n): 17.85
g(n) (actual cost): 1.38, h(n) (heuristic cost): 16.46, f(n): 17.85
g(n) (actual cost): 1.39, h(n) (heuristic cost): 16.46, f(n): 17.85
g(n) (actual cost): 1.39, h(n) (heuristic cost): 16.46, f(n): 17.85
g(n) (actual cost): 1.40, h(n) (heuristic cost): 16.45, f(n): 17.85
g(n) (actual cost): 1.40, h(n) (heuristic cost): 16.45, f(n): 17.85
g(n) (actual cost): 1.41, h(n) (heuristic cost): 16.45, f(n): 17.85
g(n) (actual cost): 1.41, h(n) (heuristic cost): 16.44, f(n): 17.85
g(n) (actual cost): 1.41, h(n) (heuristic cost): 16.44, f(n): 17.85
g(n) (actual cost): 1.42, h(n) (heuristic cost): 16.43, f(n): 17.85
g(n) (actual cost): 1.42, h(n) (heuristic cost): 16.43, f(n): 17.85
g(n) (actual cost): 1.43, h(n) (heuristic cost): 16.42, f(n): 17.85
g(n) (actual cost): 1.44, h(n) (heuristic cost): 16.42, f(n): 17.86
g(n) (actual cost): 1.44, h(n) (heuristic cost): 16.42, f(n): 17.86
g(n) (actual cost): 1.45, h(n) (heuristic cost): 16.41, f(n): 17.86
g(n) (actual cost): 1.45, h(n) (heuristic cost): 16.40, f(n): 17.86
g(n) (actual cost): 1.46, h(n) (heuristic cost): 16.40, f(n): 17.86
g(n) (actual cost): 1.47, h(n) (heuristic cost): 16.39, f(n): 17.86
g(n) (actual cost): 1.48, h(n) (heuristic cost): 16.39, f(n): 17.86
g(n) (actual cost): 1.48, h(n) (heuristic cost): 16.38, f(n): 17.86
g(n) (actual cost): 1.49, h(n) (heuristic cost): 16.37, f(n): 17.86
g(n) (actual cost): 1.50, h(n) (heuristic cost): 16.37, f(n): 17.87
g(n) (actual cost): 1.51, h(n) (heuristic cost): 16.36, f(n): 17.87
g(n) (actual cost): 1.52, h(n) (heuristic cost): 16.35, f(n): 17.87
g(n) (actual cost): 1.53, h(n) (heuristic cost): 16.34, f(n): 17.87
g(n) (actual cost): 1.54, h(n) (heuristic cost): 16.33, f(n): 17.87
g(n) (actual cost): 1.55, h(n) (heuristic cost): 16.32, f(n): 17.88
g(n) (actual cost): 1.56, h(n) (heuristic cost): 16.32, f(n): 17.88
g(n) (actual cost): 1.57, h(n) (heuristic cost): 16.31, f(n): 17.88
g(n) (actual cost): 1.58, h(n) (heuristic cost): 16.30, f(n): 17.88
g(n) (actual cost): 1.59, h(n) (heuristic cost): 16.29, f(n): 17.88
g(n) (actual cost): 1.60, h(n) (heuristic cost): 16.29, f(n): 17.89
g(n) (actual cost): 1.61, h(n) (heuristic cost): 16.28, f(n): 17.89
g(n) (actual cost): 1.62, h(n) (heuristic cost): 16.27, f(n): 17.89
g(n) (actual cost): 1.63, h(n) (heuristic cost): 16.26, f(n): 17.89
g(n) (actual cost): 1.64, h(n) (heuristic cost): 16.25, f(n): 17.90
g(n) (actual cost): 1.66, h(n) (heuristic cost): 16.24, f(n): 17.90
g(n) (actual cost): 1.67, h(n) (heuristic cost): 16.23, f(n): 17.90
g(n) (actual cost): 1.68, h(n) (heuristic cost): 16.22, f(n): 17.90
g(n) (actual cost): 1.69, h(n) (heuristic cost): 16.21, f(n): 17.91
g(n) (actual cost): 1.71, h(n) (heuristic cost): 16.20, f(n): 17.91
g(n) (actual cost): 1.72, h(n) (heuristic cost): 16.19, f(n): 17.91
g(n) (actual cost): 1.73, h(n) (heuristic cost): 16.18, f(n): 17.91
g(n) (actual cost): 1.75, h(n) (heuristic cost): 16.17, f(n): 17.92
g(n) (actual cost): 1.76, h(n) (heuristic cost): 16.16, f(n): 17.92
g(n) (actual cost): 1.77, h(n) (heuristic cost): 16.15, f(n): 17.92
g(n) (actual cost): 1.79, h(n) (heuristic cost): 16.14, f(n): 17.93
g(n) (actual cost): 1.80, h(n) (heuristic cost): 16.13, f(n): 17.93
g(n) (actual cost): 1.82, h(n) (heuristic cost): 16.12, f(n): 17.93
g(n) (actual cost): 1.83, h(n) (heuristic cost): 16.10, f(n): 17.94
g(n) (actual cost): 1.85, h(n) (heuristic cost): 16.09, f(n): 17.94
g(n) (actual cost): 1.86, h(n) (heuristic cost): 16.08, f(n): 17.95
g(n) (actual cost): 1.88, h(n) (heuristic cost): 16.07, f(n): 17.95
g(n) (actual cost): 1.90, h(n) (heuristic cost): 16.06, f(n): 17.95
g(n) (actual cost): 1.91, h(n) (heuristic cost): 16.04, f(n): 17.96
g(n) (actual cost): 1.93, h(n) (heuristic cost): 16.03, f(n): 17.96
g(n) (actual cost): 1.95, h(n) (heuristic cost): 16.02, f(n): 17.97
g(n) (actual cost): 1.97, h(n) (heuristic cost): 16.00, f(n): 17.97
g(n) (actual cost): 1.99, h(n) (heuristic cost): 15.99, f(n): 17.98
g(n) (actual cost): 2.00, h(n) (heuristic cost): 15.98, f(n): 17.98
g(n) (actual cost): 2.02, h(n) (heuristic cost): 15.96, f(n): 17.98
g(n) (actual cost): 2.04, h(n) (heuristic cost): 15.95, f(n): 17.99
g(n) (actual cost): 2.05, h(n) (heuristic cost): 15.94, f(n): 17.99
g(n) (actual cost): 2.07, h(n) (heuristic cost): 15.93, f(n): 18.00
g(n) (actual cost): 2.09, h(n) (heuristic cost): 15.91, f(n): 18.00
g(n) (actual cost): 2.11, h(n) (heuristic cost): 15.90, f(n): 18.00
g(n) (actual cost): 2.12, h(n) (heuristic cost): 15.89, f(n): 18.01
g(n) (actual cost): 2.14, h(n) (heuristic cost): 15.87, f(n): 18.01
g(n) (actual cost): 2.16, h(n) (heuristic cost): 15.86, f(n): 18.02
g(n) (actual cost): 2.18, h(n) (heuristic cost): 15.84, f(n): 18.02
g(n) (actual cost): 2.20, h(n) (heuristic cost): 15.83, f(n): 18.03
g(n) (actual cost): 2.22, h(n) (heuristic cost): 15.81, f(n): 18.03
g(n) (actual cost): 2.24, h(n) (heuristic cost): 15.80, f(n): 18.04
g(n) (actual cost): 2.26, h(n) (heuristic cost): 15.78, f(n): 18.04
g(n) (actual cost): 2.28, h(n) (heuristic cost): 15.77, f(n): 18.05
g(n) (actual cost): 2.30, h(n) (heuristic cost): 15.76, f(n): 18.06
g(n) (actual cost): 2.32, h(n) (heuristic cost): 15.74, f(n): 18.06
g(n) (actual cost): 2.34, h(n) (heuristic cost): 15.73, f(n): 18.07
g(n) (actual cost): 2.36, h(n) (heuristic cost): 15.71, f(n): 18.07
g(n) (actual cost): 2.38, h(n) (heuristic cost): 15.70, f(n): 18.08
g(n) (actual cost): 2.41, h(n) (heuristic cost): 15.68, f(n): 18.08
g(n) (actual cost): 2.43, h(n) (heuristic cost): 15.66, f(n): 18.09
g(n) (actual cost): 2.45, h(n) (heuristic cost): 15.64, f(n): 18.10
g(n) (actual cost): 2.48, h(n) (heuristic cost): 15.63, f(n): 18.10
g(n) (actual cost): 2.50, h(n) (heuristic cost): 15.61, f(n): 18.11
g(n) (actual cost): 2.52, h(n) (heuristic cost): 15.59, f(n): 18.12
g(n) (actual cost): 2.55, h(n) (heuristic cost): 15.57, f(n): 18.12
g(n) (actual cost): 2.58, h(n) (heuristic cost): 15.56, f(n): 18.13
g(n) (actual cost): 2.60, h(n) (heuristic cost): 15.54, f(n): 18.14
g(n) (actual cost): 2.62, h(n) (heuristic cost): 15.52, f(n): 18.14
g(n) (actual cost): 2.64, h(n) (heuristic cost): 15.51, f(n): 18.15
g(n) (actual cost): 2.67, h(n) (heuristic cost): 15.49, f(n): 18.16
g(n) (actual cost): 2.69, h(n) (heuristic cost): 15.47, f(n): 18.16
g(n) (actual cost): 2.71, h(n) (heuristic cost): 15.46, f(n): 18.17
g(n) (actual cost): 2.74, h(n) (heuristic cost): 15.44, f(n): 18.18
g(n) (actual cost): 2.76, h(n) (heuristic cost): 15.42, f(n): 18.18
g(n) (actual cost): 2.79, h(n) (heuristic cost): 15.40, f(n): 18.19
g(n) (actual cost): 2.81, h(n) (heuristic cost): 15.39, f(n): 18.20
g(n) (actual cost): 2.83, h(n) (heuristic cost): 15.37, f(n): 18.20
g(n) (actual cost): 2.86, h(n) (heuristic cost): 15.35, f(n): 18.21
g(n) (actual cost): 2.88, h(n) (heuristic cost): 15.34, f(n): 18.22
g(n) (actual cost): 2.91, h(n) (heuristic cost): 15.32, f(n): 18.23
g(n) (actual cost): 2.93, h(n) (heuristic cost): 15.30, f(n): 18.23
g(n) (actual cost): 2.96, h(n) (heuristic cost): 15.28, f(n): 18.24
g(n) (actual cost): 2.98, h(n) (heuristic cost): 15.27, f(n): 18.25
g(n) (actual cost): 3.00, h(n) (heuristic cost): 15.25, f(n): 18.25
g(n) (actual cost): 3.03, h(n) (heuristic cost): 15.23, f(n): 18.26
g(n) (actual cost): 3.05, h(n) (heuristic cost): 15.22, f(n): 18.27
g(n) (actual cost): 3.08, h(n) (heuristic cost): 15.20, f(n): 18.28
g(n) (actual cost): 3.10, h(n) (heuristic cost): 15.18, f(n): 18.28
g(n) (actual cost): 3.12, h(n) (heuristic cost): 15.17, f(n): 18.29
g(n) (actual cost): 3.14, h(n) (heuristic cost): 15.15, f(n): 18.30
g(n) (actual cost): 3.18, h(n) (heuristic cost): 15.13, f(n): 18.31
g(n) (actual cost): 3.21, h(n) (heuristic cost): 15.10, f(n): 18.32
g(n) (actual cost): 3.24, h(n) (heuristic cost): 15.09, f(n): 18.32
g(n) (actual cost): 3.26, h(n) (heuristic cost): 15.07, f(n): 18.33
g(n) (actual cost): 3.29, h(n) (heuristic cost): 15.05, f(n): 18.34
g(n) (actual cost): 3.31, h(n) (heuristic cost): 15.03, f(n): 18.35
g(n) (actual cost): 3.34, h(n) (heuristic cost): 15.02, f(n): 18.35
g(n) (actual cost): 3.36, h(n) (heuristic cost): 15.00, f(n): 18.36
g(n) (actual cost): 3.39, h(n) (heuristic cost): 14.98, f(n): 18.37
g(n) (actual cost): 3.41, h(n) (heuristic cost): 14.97, f(n): 18.38
g(n) (actual cost): 3.43, h(n) (heuristic cost): 14.95, f(n): 18.38
g(n) (actual cost): 3.46, h(n) (heuristic cost): 14.93, f(n): 18.39
g(n) (actual cost): 3.49, h(n) (heuristic cost): 14.91, f(n): 18.40
g(n) (actual cost): 3.53, h(n) (heuristic cost): 14.89, f(n): 18.41
g(n) (actual cost): 3.56, h(n) (heuristic cost): 14.87, f(n): 18.42
g(n) (actual cost): 3.58, h(n) (heuristic cost): 14.85, f(n): 18.43
g(n) (actual cost): 3.61, h(n) (heuristic cost): 14.83, f(n): 18.44
g(n) (actual cost): 3.63, h(n) (heuristic cost): 14.82, f(n): 18.45
g(n) (actual cost): 3.65, h(n) (heuristic cost): 14.80, f(n): 18.45
g(n) (actual cost): 3.68, h(n) (heuristic cost): 14.78, f(n): 18.46
g(n) (actual cost): 3.70, h(n) (heuristic cost): 14.77, f(n): 18.47
g(n) (actual cost): 3.72, h(n) (heuristic cost): 14.75, f(n): 18.48
g(n) (actual cost): 3.75, h(n) (heuristic cost): 14.73, f(n): 18.48
g(n) (actual cost): 3.78, h(n) (heuristic cost): 14.72, f(n): 18.49
g(n) (actual cost): 3.80, h(n) (heuristic cost): 14.70, f(n): 18.50
g(n) (actual cost): 3.82, h(n) (heuristic cost): 14.68, f(n): 18.51
g(n) (actual cost): 3.85, h(n) (heuristic cost): 14.67, f(n): 18.52
g(n) (actual cost): 3.87, h(n) (heuristic cost): 14.65, f(n): 18.52
g(n) (actual cost): 3.89, h(n) (heuristic cost): 14.64, f(n): 18.53
g(n) (actual cost): 3.92, h(n) (heuristic cost): 14.62, f(n): 18.54
g(n) (actual cost): 3.94, h(n) (heuristic cost): 14.61, f(n): 18.55
g(n) (actual cost): 3.97, h(n) (heuristic cost): 14.59, f(n): 18.55
g(n) (actual cost): 3.99, h(n) (heuristic cost): 14.57, f(n): 18.56
g(n) (actual cost): 4.02, h(n) (heuristic cost): 14.55, f(n): 18.57
g(n) (actual cost): 4.05, h(n) (heuristic cost): 14.53, f(n): 18.58
g(n) (actual cost): 4.07, h(n) (heuristic cost): 14.52, f(n): 18.59
g(n) (actual cost): 4.09, h(n) (heuristic cost): 14.50, f(n): 18.60
g(n) (actual cost): 4.12, h(n) (heuristic cost): 14.49, f(n): 18.60
g(n) (actual cost): 4.14, h(n) (heuristic cost): 14.47, f(n): 18.61
